,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1837,CHEMBL3984531,CC(=C(c1ccc(N)cc1)c1ccc(N)cc1)c1ccc([N+](=O)[O-])cc1,active,345.4020000000001,4.738200000000003,2.0,4.0,6.655804284128565
1838,CHEMBL3983734,CS(=O)(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,active,567.4950000000001,3.6189000000000027,0.0,8.0,6.013183495414464
1842,CHEMBL3964421,COCCS(=O)(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,611.5480000000002,3.635500000000003,0.0,9.0,4.999995657076895
1844,CHEMBL3938615,O=S(=O)(N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1)C(F)(F)F,active,621.4650000000001,4.508900000000003,0.0,8.0,6.10231793820358
1847,CHEMBL3980889,CS(=O)(=O)CS(=O)(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,active,645.5870000000001,2.9912000000000027,0.0,10.0,5.999956572723137
1848,CHEMBL3960724,O=S(=O)(c1cccs1)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,635.595,5.1097000000000055,0.0,9.0,4.999995657076895
1849,CHEMBL3891718,Cn1ccnc1S(=O)(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,633.5580000000001,3.7817000000000025,0.0,10.0,4.999995657076895
1852,CHEMBL3948337,Fc1ccc2nc(-c3cncc4ccccc34)c(C3CC3)n2c1,active,303.3400000000001,4.5660000000000025,0.0,3.0,6.10231793820358
1854,CHEMBL3924257,Cc1c(F)cncc1-c1nc2ccc(F)cn2c1C1CC1,active,285.2970000000001,3.8603200000000024,0.0,3.0,6.376647318462008
1855,CHEMBL3919759,CCc1c(F)cncc1-c1nc2ccc(F)cn2c1C1CC1,active,299.32400000000007,4.114300000000003,0.0,3.0,6.920456992597094
1857,CHEMBL3941042,O=C(/C=C\Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1)c1cc2ccccc2oc1=O,inactive,447.47200000000015,3.7973000000000017,2.0,7.0,4.902045462982315
1861,CHEMBL4070331,CCN(CC)c1ccc2cc(-c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,active,432.52000000000027,5.258800000000005,0.0,6.0,7.540607512240769
1862,CHEMBL4091260,COc1ccc2cc(-c3cc4ccc(OC)cc4oc3=O)c(=O)oc2c1,inactive,350.32600000000014,3.5836000000000023,0.0,6.0,4.999995657076895
1864,CHEMBL4098990,O=c1ccc2ccc(-c3cccnc3)cc2o1,active,223.23100000000002,2.8550000000000004,0.0,3.0,7.517126416391246
1865,CHEMBL4099909,O=c1ccc2ccc(-c3ccccn3)cc2o1,inactive,223.23100000000002,2.8550000000000004,0.0,3.0,4.999995657076895
1866,CHEMBL1650711,COc1ccc(-c2ccc3ccc(=O)oc3c2)cc1,inactive,252.26899999999998,3.468600000000002,0.0,3.0,4.999995657076895
1867,CHEMBL1650709,O=c1ccc2ccc(-c3ccccc3)cc2o1,inactive,222.24300000000002,3.4600000000000017,0.0,2.0,4.999995657076895
